Time,Press,Temp,Dewpt,RH,Ucmp,Vcmp,spd,dir,Wcm, Lon,Lat,Ele,Azi,Alt, Qp,Qt,Qr, Qu,Qv,Qd
   0.0,  964.5,  21.3,  18.4,  83.7,    0.0,    0.0,   0.0,   0.0, 999.0,  -63.726, -29.906, 999.0, 999.0,   341.0,  3.0,  3.0,  3.0,  1.0,  1.0,  9.0
   2.3,  960.0,  20.3,  19.6,  95.7,    1.3,    3.2,   3.4, 201.9,   5.8,  -63.726, -29.906, 999.0, 999.0,   382.8,  3.0,  3.0,  3.0,  1.0,  1.0, 99.0
   9.9,  955.0,  20.0,  19.7,  98.0,    1.4,    3.5,   3.8, 201.8,   6.5,  -63.726, -29.906, 999.0, 999.0,   427.1,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  17.4,  950.0,  19.7,  19.6,  98.9,    1.5,    3.8,   4.1, 201.5,   6.5,  -63.726, -29.905, 999.0, 999.0,   473.3,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  25.2,  945.0,  19.3,  19.3, 100.0,    1.6,    4.5,   4.8, 199.6,   5.5,  -63.726, -29.905, 999.0, 999.0,   518.8,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  32.7,  940.0,  19.1,  19.1,  99.8,    1.6,    5.5,   5.7, 196.6,   6.5,  -63.726, -29.905, 999.0, 999.0,   564.6,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  41.0,  935.0,  18.9,  18.8,  99.8,    1.8,    6.3,   6.5, 196.1,   5.0,  -63.725, -29.904, 999.0, 999.0,   611.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  49.3,  930.0,  18.6,  18.6,  99.8,    1.6,    6.8,   7.0, 193.6,   5.0,  -63.725, -29.904, 999.0, 999.0,   656.4,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  57.4,  925.0,  18.4,  18.4,  99.8,    1.1,    7.1,   7.2, 188.7,   6.0,  -63.725, -29.903, 999.0, 999.0,   703.3,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  64.3,  920.0,  18.2,  18.1,  99.7,    0.6,    7.2,   7.2, 184.6,   5.5,  -63.725, -29.903, 999.0, 999.0,   749.8,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  72.3,  915.0,  18.0,  18.0,  99.9,    0.1,    7.7,   7.7, 180.5,   6.0,  -63.725, -29.902, 999.0, 999.0,   796.8,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  79.9,  910.0,  17.8,  17.8,  99.9,   -0.6,    8.1,   8.1, 175.9,   6.3,  -63.725, -29.902, 999.0, 999.0,   844.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  87.3,  905.0,  17.4,  17.4,  99.8,   -0.9,    8.3,   8.3, 173.8,   6.0,  -63.725, -29.901, 999.0, 999.0,   891.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
  95.1,  900.0,  17.2,  17.2,  99.7,   -1.1,    8.4,   8.5, 172.4,   6.5,  -63.725, -29.900, 999.0, 999.0,   938.4,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
 103.1,  895.0,  17.0,  17.0,  99.9,   -1.4,    7.8,   7.9, 169.8,   6.5,  -63.725, -29.900, 999.0, 999.0,   986.0,  1.0,  1.0,  1.0,  1.0,  1.0, 99.0
